summary_id,accuracy,completeness,organization,conciseness,clinical_utility,overall_quality,comments
S235,2,4,5,4,3,3,Major surgical and age errors; overly aggressive clinical plan
S236,2,4,5,4,3,3,Dangerously conflated female transcript with elderly male EHR
S237,2,4,5,4,3,3,"Dangerously ignored actual EHR history, fabricating medical history instead"
S238,4,4,5,4,4,4,Accurate summary but listed inactive historical conditions as current
S239,4,5,5,5,5,5,Exceptionally high-quality synthesis; minor appropriate medication inclusion
S240,1,4,5,4,2,2,Major hallucination conflating 10th-grade student with elderly chronic EHR patient
S241,2,4,5,4,3,3,Fundamental demographic and medication errors severely impact utility
S242,3,4,5,4,4,4,Factual inaccuracies regarding unmentioned vitals and lab interpretations
S243,3,4,5,4,4,4,Hallucinated detailed physical exam and specific lab values not in data
S244,3,4,5,4,4,4,Medication errors and incorrectly conflated reported meds with EHR age profile
S245,2,4,5,3,3,3,"Major age calculation error and cluttered, confusing past medical history"
S246,2,4,5,4,2,2,Conflated current presentation with deceased patient's historical EHR data
S247,2,3,5,5,2,2,"Dangerously presented patient as healthy, ignoring complex cardiovascular EHR"
S248,3,4,5,4,3,3,Listed inactive meds as current and poorly formatted clinical management plan
S249,2,4,5,4,3,3,Major factual error conflating graduate student with ESRD EHR patient
S250,4,4,5,5,4,4,Highly useful; missed minor transcript details but included irrelevant EHR data
S251,4,5,5,5,5,5,Excellent reasoning; correctly distinguished data sources with minor age error
S252,4,5,5,5,5,5,Correctly identified incongruent EHR data and appropriately prioritized transcript
S253,4,5,5,5,5,5,Exceptionally well-structured and professional; minor current medication error
S254,2,4,5,5,3,3,"Incorrectly listed reported meds while ignoring complex, contradictory EHR"
S255,4,4,5,5,5,5,Excellent synthesis; missed minor active prescription from EHR
S256,2,4,5,5,3,3,Major age error; failed to integrate high-acuity EHR data for safe decision-making
S257,3,4,5,5,4,4,Factual inaccuracies regarding medication list and interpreted social history
S258,4,5,5,5,5,5,"Excellent, comprehensive plan; minor age calculation inaccuracy"
S259,2,4,5,5,4,3,Major factual error conflating 6-year-old with adult female EHR data
S260,4,5,5,5,5,5,Excellent and highly professional; minor discrepancy regarding chronic medications
S261,5,5,5,5,5,5,Exceptional synthesis of current symptoms with complex past medical history
S262,2,4,5,5,3,3,"Ignored EHR entirely, failing to reconcile contradictory high-risk history"
S263,5,5,5,5,5,5,"Excellent, highly professional synthesis providing clear actionable plan"
S264,1,4,5,5,1,1,"Dangerously hallucinated identity, conflating pediatric transcript with adult EHR"
S265,3,4,5,4,3,3,Failed to reconcile meds; inconsistently included administrative codes as history
S266,4,5,5,5,5,5,Excellent and well-structured; minor inaccuracy regarding surgical history
S267,2,4,5,4,3,3,Major hallucination conflating 16-year-old student with elderly transplant EHR
S268,3,4,5,5,4,4,Temperature unit error and failed to integrate extensive EHR age data
S269,3,4,5,5,4,4,"Failed to distinguish current encounter from outdated, contradictory EHR data"
S270,1,2,4,3,1,1,Catastrophically conflated young female with critically ill elderly male
S271,4,5,5,5,5,5,Excellent synthesis; correctly incorporated complex medication regimen
S272,2,4,5,5,3,3,Dangerously ignored clinically vital EHR history and surgical data
S273,2,2,5,5,2,2,"Ignored extensive contradictory EHR data, failing to reconcile medical record"
S274,2,4,5,4,3,3,"Major age error; conflated current history with outdated, unmentioned EHR meds"
S275,2,4,5,5,3,3,"Omitted relevant EHR history, significantly impacting differential diagnosis utility"
S276,2,4,5,5,4,3,"Failed to highlight discrepancy, accepting subjective report over chronic EHR"
S277,2,4,5,4,3,3,Major factual error conflating 6-year-old with completely irrelevant adult female
S278,3,3,5,5,4,4,Failed to reconcile subjective report with extensive complex EHR history
S279,4,5,5,5,5,5,Excellent and highly professional; minor past medication discrepancy
S280,1,2,2,1,1,1,Catastrophic repetitive history dump and utilized completely wrong patient data
S281,2,4,5,4,3,3,Major factual error conflating reported history with completely different EHR patient
S282,1,3,5,4,2,1,"Dangerously ignored 103-year-old EHR, relying on self-report of 25-year-old"
S283,2,3,5,4,3,3,Age and medication errors due to prioritizing outdated EHR over current report
S284,4,4,5,5,5,5,Highly accurate; missed surgical history and misplaced minor HPI detail
S285,1,4,5,4,2,2,Critically conflated mother's EHR data with 6-year-old patient
S286,4,5,5,5,5,5,Exceptionally well-organized integration; minor EHR age artifact
S287,1,4,5,5,2,2,"Catastrophically hallucinated identity, conflating student with deceased patient"
S288,4,5,5,5,5,5,Exceptionally well-structured integration; minor historical age context error
S289,1,4,5,5,2,2,"Dangerously hallucinated healthy profile, completely ignoring complex EHR"
S290,3,4,5,4,3,3,Factual errors regarding reported treatment and failed to reconcile medications
S291,4,4,5,5,4,4,Well-structured and accurate summary but missed complex EHR history
S292,3,4,5,4,3,3,Listed expired medications as current and missed relevant transcript context
S293,1,4,5,4,2,2,Catastrophically conflated critical male EHR with young female pregnancy symptoms
S294,1,2,5,4,2,2,"Dangerously ignored complex female EHR, relying on wrong transcript"
S295,2,3,5,4,3,3,Conflated recent denial of falls with historic EHR fracture data
S296,2,4,5,5,3,3,"Dangerously accepted ""healthy"" report despite highly complex cardiovascular EHR"
S297,1,1,4,4,1,1,Medically nonsensical conflation of young female transcript with elderly male EHR
S298,3,3,5,5,3,3,Failed to incorporate chronic EHR history and missed transcript marijuana mention
S299,2,4,5,5,3,3,Age error and confusing conflation of patient-reported meds with EHR
S300,4,5,5,5,5,5,Exceptionally comprehensive synthesis; minor ongoing medication error
S301,2,4,5,5,3,3,Major factual error conflating 6-year-old with adult female EHR allergies/history
S302,4,5,5,5,5,5,Exceptionally high-quality synthesis; minor age context error
S303,2,4,5,4,2,2,Major age error; confusingly conflated clinical presentation with deceased EHR
S304,1,4,5,5,2,2,"Dangerously hallucinated 1-year-old history, ignoring complex adult male EHR"
S305,3,4,1,1,2,1,Unusable due to catastrophic technical failure looping HPI repeatedly
S306,3,4,5,4,4,4,Failed to integrate contradictory EHR and hallucinated unmentioned treatment plan
S307,2,4,5,4,3,3,Dangerously conflated young person transcript with elderly ESRD EHR
S308,2,4,5,4,3,3,Major age error significantly undermining reliability for clinical decision-making
S309,4,4,2,1,3,2,Catastrophically disorganized past medical history due to unreadable looping data
S310,4,4,5,4,4,4,Minor treatment history error and included unnecessarily precise lab values
S311,2,4,5,4,3,3,Major factual error conflating 16-year-old student with elderly chronic EHR
S312,2,2,5,5,2,2,Failed to reconcile healthy status with high-risk EHR and missed reported meds
S313,2,4,5,4,3,3,Major age error; conflated reported history with deceased EHR profile
S314,3,4,5,4,4,4,"Age error, hallucinated physical exam findings, and unmentioned medication dosages"
S315,1,4,5,4,2,2,Critically conflated student with elderly EHR and hallucinated exam findings
S316,1,2,5,5,2,2,Major hallucination conflating female student transcript with complex male EHR
S317,3,4,5,4,4,4,Inconsistently listed unmentioned EHR conditions as current reported history
S318,3,4,5,4,4,4,"Historical timeline and medication errors, but highly relevant clinical plan"
S319,5,5,5,5,5,5,Excellent summary; appropriately excluded entirely irrelevant adult EHR data
S320,2,4,2,1,1,1,Catastrophically looped mother's EHR data in an infinite nonsensical loop
